Date,Start(ET),Visitor,VisitorPts,Home,HomePts,OT,Atten,Notes
"Sat, Oct 31, 2015",7:30p,Golden State Warriors,134,New Orleans Pelicans,120,,"18,406",
"Sat, Oct 31, 2015",10:00p,Phoenix Suns,101,Portland Trail Blazers,90,,"17,906",
"Sat, Oct 31, 2015",7:00p,New York Knicks,117,Washington Wizards,110,,"20,356",
"Sun, Nov 1, 2015",3:30p,San Antonio Spurs,95,Boston Celtics,87,,"17,461",
"Sun, Nov 1, 2015",7:00p,Orlando Magic,87,Chicago Bulls,92,,"21,585",
"Sun, Nov 1, 2015",2:00p,Atlanta Hawks,94,Charlotte Hornets,92,,"18,691",
"Sun, Nov 1, 2015",9:30p,Dallas Mavericks,103,Los Angeles Lakers,93,,"18,997",
"Sun, Nov 1, 2015",6:00p,Houston Rockets,89,Miami Heat,109,,"19,600",
"Sun, Nov 1, 2015",7:00p,Denver Nuggets,93,Oklahoma City Thunder,117,,"18,203",
"Sun, Nov 1, 2015",6:00p,Milwaukee Bucks,87,Toronto Raptors,106,,"19,800",
"Mon, Nov 2, 2015",7:30p,Milwaukee Bucks,103,Brooklyn Nets,96,,"12,576",
"Mon, Nov 2, 2015",10:30p,Memphis Grizzlies,69,Golden State Warriors,119,,"19,596",
"Mon, Nov 2, 2015",8:00p,Oklahoma City Thunder,105,Houston Rockets,110,,"17,224",
"Mon, Nov 2, 2015",10:30p,Phoenix Suns,96,Los Angeles Clippers,102,,"19,060",
"Mon, Nov 2, 2015",8:00p,Portland Trail Blazers,106,Minnesota Timberwolves,101,,"18,903",
"Mon, Nov 2, 2015",7:30p,San Antonio Spurs,94,New York Knicks,84,,"19,812",
"Mon, Nov 2, 2015",7:00p,Cleveland Cavaliers,107,Philadelphia 76ers,100,,"18,094",
"Tue, Nov 3, 2015",7:00p,Chicago Bulls,105,Charlotte Hornets,130,,"15,136",
"Tue, Nov 3, 2015",8:30p,Toronto Raptors,102,Dallas Mavericks,91,,"20,034",
"Tue, Nov 3, 2015",7:30p,Indiana Pacers,94,Detroit Pistons,82,,"13,325",
"Tue, Nov 3, 2015",10:30p,Denver Nuggets,120,Los Angeles Lakers,109,,"18,997",
"Tue, Nov 3, 2015",7:30p,Atlanta Hawks,98,Miami Heat,92,,"19,600",
"Tue, Nov 3, 2015",8:00p,Orlando Magic,103,New Orleans Pelicans,94,,"16,876",
"Tue, Nov 3, 2015",10:00p,Memphis Grizzlies,103,Sacramento Kings,89,,"17,317",
"Wed, Nov 4, 2015",8:00p,Brooklyn Nets,87,Atlanta Hawks,101,,"14,044",
"Wed, Nov 4, 2015",8:00p,New York Knicks,86,Cleveland Cavaliers,96,,"20,562",
"Wed, Nov 4, 2015",10:30p,Los Angeles Clippers,108,Golden State Warriors,112,,"19,596",
