Date,Start(ET),Visitor,VisitorPts,Home,HomePts,OT,Atten,Notes
"Sun, Mar 20, 2016",6:00p,Los Angeles Clippers,105,New Orleans Pelicans,109,,"17,407",
"Sun, Mar 20, 2016",7:30p,Sacramento Kings,88,New York Knicks,80,,"19,812",
"Sun, Mar 20, 2016",6:00p,Boston Celtics,120,Philadelphia 76ers,105,,"15,103",
"Sun, Mar 20, 2016",4:30p,Orlando Magic,100,Toronto Raptors,105,,"19,800",
"Mon, Mar 21, 2016",8:00p,Washington Wizards,117,Atlanta Hawks,102,,"15,729",
"Mon, Mar 21, 2016",7:30p,Orlando Magic,96,Boston Celtics,107,,"18,624",
"Mon, Mar 21, 2016",8:00p,Sacramento Kings,102,Chicago Bulls,109,,"21,531",
"Mon, Mar 21, 2016",7:00p,San Antonio Spurs,88,Charlotte Hornets,91,,"18,260",
"Mon, Mar 21, 2016",7:00p,Denver Nuggets,91,Cleveland Cavaliers,124,,"20,562",
"Mon, Mar 21, 2016",7:30p,Milwaukee Bucks,91,Detroit Pistons,92,,"13,577",
"Mon, Mar 21, 2016",7:00p,Philadelphia 76ers,75,Indiana Pacers,91,,"16,155",
"Mon, Mar 21, 2016",8:00p,Golden State Warriors,109,Minnesota Timberwolves,104,,"19,452",
"Mon, Mar 21, 2016",10:00p,Memphis Grizzlies,103,Phoenix Suns,97,,"15,868",
"Tue, Mar 22, 2016",7:30p,Charlotte Hornets,105,Brooklyn Nets,100,,"15,739",
"Tue, Mar 22, 2016",10:30p,Memphis Grizzlies,100,Los Angeles Lakers,107,,"18,997",
"Tue, Mar 22, 2016",8:00p,Miami Heat,113,New Orleans Pelicans,99,,"16,867",
"Tue, Mar 22, 2016",8:00p,Houston Rockets,107,Oklahoma City Thunder,111,,"18,203",
"Wed, Mar 23, 2016",7:30p,Toronto Raptors,79,Boston Celtics,91,,"18,624",
"Wed, Mar 23, 2016",8:00p,New York Knicks,115,Chicago Bulls,107,,"21,788",
"Wed, Mar 23, 2016",7:00p,Milwaukee Bucks,104,Cleveland Cavaliers,113,,"20,562",
"Wed, Mar 23, 2016",9:00p,Philadelphia 76ers,103,Denver Nuggets,104,,"10,684",
"Wed, Mar 23, 2016",7:30p,Orlando Magic,102,Detroit Pistons,118,,"16,609",
"Wed, Mar 23, 2016",10:30p,Los Angeles Clippers,98,Golden State Warriors,114,,"19,596",
"Wed, Mar 23, 2016",8:00p,Utah Jazz,89,Houston Rockets,87,,"18,151",
"Wed, Mar 23, 2016",8:00p,Sacramento Kings,104,Minnesota Timberwolves,113,,"12,151",
"Wed, Mar 23, 2016",10:00p,Los Angeles Lakers,107,Phoenix Suns,119,,"18,191",
"Wed, Mar 23, 2016",10:00p,Dallas Mavericks,103,Portland Trail Blazers,109,,"19,819",
"Wed, Mar 23, 2016",8:30p,Miami Heat,88,San Antonio Spurs,112,,"18,418",
"Wed, Mar 23, 2016",7:00p,Atlanta Hawks,122,Washington Wizards,101,,"18,807",
"Thu, Mar 24, 2016",7:30p,Cleveland Cavaliers,95,Brooklyn Nets,104,,"17,732",
"Thu, Mar 24, 2016",7:00p,New Orleans Pelicans,84,Indiana Pacers,92,,"17,517",
"Thu, Mar 24, 2016",10:30p,Portland Trail Blazers,94,Los Angeles Clippers,96,,"19,359",
"Thu, Mar 24, 2016",7:30p,Chicago Bulls,94,New York Knicks,106,,"19,812",
"Thu, Mar 24, 2016",8:00p,Utah Jazz,91,Oklahoma City Thunder,113,,"18,203",
"Fri, Mar 25, 2016",8:00p,Milwaukee Bucks,90,Atlanta Hawks,101,,"17,070",
"Fri, Mar 25, 2016",7:30p,Charlotte Hornets,105,Detroit Pistons,112,,"17,209",
"Fri, Mar 25, 2016",10:30p,Dallas Mavericks,120,Golden State Warriors,128,,"19,596",
"Fri, Mar 25, 2016",8:00p,Toronto Raptors,109,Houston Rockets,112,,"18,230",
"Fri, Mar 25, 2016",10:30p,Denver Nuggets,116,Los Angeles Lakers,105,,"18,997",
"Fri, Mar 25, 2016",8:00p,Orlando Magic,97,Miami Heat,108,,"19,918",
"Fri, Mar 25, 2016",10:00p,Phoenix Suns,94,Sacramento Kings,116,,"17,317",
"Fri, Mar 25, 2016",8:30p,Memphis Grizzlies,104,San Antonio Spurs,110,,"18,418",
"Fri, Mar 25, 2016",7:00p,Minnesota Timberwolves,132,Washington Wizards,129,2OT,"20,356",
"Sat, Mar 26, 2016",6:00p,Indiana Pacers,110,Brooklyn Nets,120,,"16,625",
"Sat, Mar 26, 2016",7:30p,Atlanta Hawks,112,Detroit Pistons,95,,"17,857",
"Sat, Mar 26, 2016",8:30p,Charlotte Hornets,115,Milwaukee Bucks,91,,"15,544",
"Sat, Mar 26, 2016",8:00p,Utah Jazz,93,Minnesota Timberwolves,84,,"14,694",
"Sat, Mar 26, 2016",7:00p,Toronto Raptors,115,New Orleans Pelicans,91,,"17,009",
"Sat, Mar 26, 2016",7:30p,Cleveland Cavaliers,107,New York Knicks,93,,"19,812",
"Sat, Mar 26, 2016",8:00p,San Antonio Spurs,92,Oklahoma City Thunder,111,,"18,203",
"Sat, Mar 26, 2016",7:00p,Chicago Bulls,89,Orlando Magic,111,,"18,846",
"Sat, Mar 26, 2016",10:00p,Boston Celtics,102,Phoenix Suns,99,,"18,055",
"Sat, Mar 26, 2016",10:00p,Philadelphia 76ers,105,Portland Trail Blazers,108,,"19,506",
"Sun, Mar 27, 2016",8:00p,Philadelphia 76ers,105,Golden State Warriors,117,,"19,596",
"Sun, Mar 27, 2016",6:00p,Houston Rockets,101,Indiana Pacers,104,,"17,165",
"Sun, Mar 27, 2016",3:30p,Denver Nuggets,90,Los Angeles Clippers,105,,"19,060",
"Sun, Mar 27, 2016",9:30p,Washington Wizards,101,Los Angeles Lakers,88,,"18,997",
"Sun, Mar 27, 2016",6:00p,Dallas Mavericks,111,Sacramento Kings,133,,"17,147",
"Mon, Mar 28, 2016",8:00p,Atlanta Hawks,102,Chicago Bulls,100,,"21,761",
"Mon, Mar 28, 2016",9:00p,Dallas Mavericks,97,Denver Nuggets,88,,"14,844",
"Mon, Mar 28, 2016",10:30p,Boston Celtics,90,Los Angeles Clippers,114,,"19,258",
"Mon, Mar 28, 2016",8:00p,San Antonio Spurs,101,Memphis Grizzlies,87,,"17,133",
"Mon, Mar 28, 2016",7:30p,Brooklyn Nets,99,Miami Heat,110,,"20,003",
"Mon, Mar 28, 2016",8:00p,Phoenix Suns,116,Minnesota Timberwolves,121,,"11,141",
"Mon, Mar 28, 2016",8:00p,New York Knicks,91,New Orleans Pelicans,99,,"17,000",
"Mon, Mar 28, 2016",10:00p,Sacramento Kings,93,Portland Trail Blazers,105,,"19,393",
"Mon, Mar 28, 2016",7:30p,Oklahoma City Thunder,119,Toronto Raptors,100,,"19,800",
"Mon, Mar 28, 2016",9:00p,Los Angeles Lakers,75,Utah Jazz,123,,"19,911",
"Tue, Mar 29, 2016",8:00p,Houston Rockets,106,Cleveland Cavaliers,100,,"20,562",
"Tue, Mar 29, 2016",7:30p,Oklahoma City Thunder,82,Detroit Pistons,88,,"18,201",
"Tue, Mar 29, 2016",10:30p,Washington Wizards,94,Golden State Warriors,102,,"19,596",
"Tue, Mar 29, 2016",7:00p,Chicago Bulls,98,Indiana Pacers,96,,"17,050",
"Tue, Mar 29, 2016",7:00p,Brooklyn Nets,105,Orlando Magic,139,,"17,536",
"Tue, Mar 29, 2016",7:00p,Charlotte Hornets,100,Philadelphia 76ers,85,,"14,486",
"Wed, Mar 30, 2016",8:30p,New York Knicks,89,Dallas Mavericks,91,,"20,435",
"Wed, Mar 30, 2016",10:30p,Miami Heat,100,Los Angeles Lakers,102,OT,"18,997",
"Wed, Mar 30, 2016",8:00p,Denver Nuggets,109,Memphis Grizzlies,105,,"16,401",
"Wed, Mar 30, 2016",8:00p,Phoenix Suns,94,Milwaukee Bucks,105,,"15,733",
"Wed, Mar 30, 2016",8:00p,Los Angeles Clippers,99,Minnesota Timberwolves,79,,"12,252",
"Wed, Mar 30, 2016",10:00p,Washington Wizards,111,Sacramento Kings,120,,"17,185",
"Wed, Mar 30, 2016",8:30p,New Orleans Pelicans,92,San Antonio Spurs,100,,"18,418",
"Wed, Mar 30, 2016",7:30p,Atlanta Hawks,97,Toronto Raptors,105,,"19,800",
"Wed, Mar 30, 2016",9:00p,Golden State Warriors,103,Utah Jazz,96,OT,"19,911",
"Thu, Mar 31, 2016",7:00p,Brooklyn Nets,87,Cleveland Cavaliers,107,,"20,562",
"Thu, Mar 31, 2016",7:00p,Chicago Bulls,103,Houston Rockets,100,,"18,244",
"Thu, Mar 31, 2016",7:00p,Orlando Magic,114,Indiana Pacers,94,,"17,234",
"Thu, Mar 31, 2016",8:00p,Denver Nuggets,95,New Orleans Pelicans,101,,"16,269",
"Thu, Mar 31, 2016",9:30p,Los Angeles Clippers,117,Oklahoma City Thunder,119,,"18,203",
"Thu, Mar 31, 2016",10:00p,Boston Celtics,109,Portland Trail Blazers,116,,"19,393",
"Fri, Apr 1, 2016",8:00p,Cleveland Cavaliers,110,Atlanta Hawks,108,OT,"19,427",
"Fri, Apr 1, 2016",7:00p,Philadelphia 76ers,91,Charlotte Hornets,100,,"19,244",
"Fri, Apr 1, 2016",7:30p,Dallas Mavericks,98,Detroit Pistons,89,,"19,031",
"Fri, Apr 1, 2016",10:30p,Boston Celtics,109,Golden State Warriors,106,,"19,596",
"Fri, Apr 1, 2016",8:00p,Toronto Raptors,99,Memphis Grizzlies,95,,"17,077",
"Fri, Apr 1, 2016",8:00p,Orlando Magic,110,Milwaukee Bucks,113,,"16,268",
"Fri, Apr 1, 2016",7:30p,Brooklyn Nets,91,New York Knicks,105,,"19,812",
"Fri, Apr 1, 2016",10:30p,Washington Wizards,106,Phoenix Suns,99,,"17,345",
"Fri, Apr 1, 2016",10:00p,Miami Heat,112,Sacramento Kings,106,,"17,317",
"Fri, Apr 1, 2016",9:00p,Minnesota Timberwolves,85,Utah Jazz,98,,"19,911",
"Sat, Apr 2, 2016",8:00p,Detroit Pistons,94,Chicago Bulls,90,,"22,197",
"Sat, Apr 2, 2016",9:00p,Sacramento Kings,115,Denver Nuggets,106,,"15,607",
"Sat, Apr 2, 2016",7:30p,Indiana Pacers,115,Philadelphia 76ers,102,,"19,213",
"Sat, Apr 2, 2016",10:00p,Miami Heat,93,Portland Trail Blazers,110,,"19,633",
"Sat, Apr 2, 2016",8:30p,Toronto Raptors,95,San Antonio Spurs,102,,"18,418",
"Sun, Apr 3, 2016",1:00p,New Orleans Pelicans,106,Brooklyn Nets,87,,"16,329",
"Sun, Apr 3, 2016",3:30p,Charlotte Hornets,103,Cleveland Cavaliers,112,,"20,562",
"Sun, Apr 3, 2016",8:00p,Portland Trail Blazers,111,Golden State Warriors,136,,"19,596",
"Sun, Apr 3, 2016",3:30p,Oklahoma City Thunder,110,Houston Rockets,118,,"18,462",
"Sun, Apr 3, 2016",3:30p,Washington Wizards,109,Los Angeles Clippers,114,,"19,060",
"Sun, Apr 3, 2016",9:30p,Boston Celtics,107,Los Angeles Lakers,100,,"18,997",
"Sun, Apr 3, 2016",7:00p,Chicago Bulls,102,Milwaukee Bucks,98,,"15,768",
"Sun, Apr 3, 2016",3:30p,Dallas Mavericks,88,Minnesota Timberwolves,78,,"16,117",
"Sun, Apr 3, 2016",7:30p,Indiana Pacers,92,New York Knicks,87,,"19,812",
"Sun, Apr 3, 2016",6:00p,Memphis Grizzlies,107,Orlando Magic,119,,"17,741",
"Sun, Apr 3, 2016",6:00p,Utah Jazz,101,Phoenix Suns,86,,"17,279",
"Tue, Apr 5, 2016",8:00p,Phoenix Suns,90,Atlanta Hawks,103,,"15,176",
"Tue, Apr 5, 2016",9:00p,Oklahoma City Thunder,124,Denver Nuggets,102,,"12,611",
"Tue, Apr 5, 2016",10:30p,Minnesota Timberwolves,124,Golden State Warriors,117,OT,"19,596",
"Tue, Apr 5, 2016",10:30p,Los Angeles Lakers,81,Los Angeles Clippers,103,,"19,537",
"Tue, Apr 5, 2016",8:00p,Chicago Bulls,92,Memphis Grizzlies,108,,"17,591",
"Tue, Apr 5, 2016",8:00p,Detroit Pistons,89,Miami Heat,107,,"19,621",
"Tue, Apr 5, 2016",8:00p,Cleveland Cavaliers,109,Milwaukee Bucks,80,,"15,061",
"Tue, Apr 5, 2016",7:00p,New Orleans Pelicans,93,Philadelphia 76ers,107,,"10,978",
"Tue, Apr 5, 2016",10:00p,Portland Trail Blazers,115,Sacramento Kings,107,,"17,317",
"Tue, Apr 5, 2016",7:30p,Charlotte Hornets,90,Toronto Raptors,96,,"19,800",
"Tue, Apr 5, 2016",9:00p,San Antonio Spurs,88,Utah Jazz,86,,"19,381",
"Wed, Apr 6, 2016",7:30p,New Orleans Pelicans,97,Boston Celtics,104,,"18,624",
"Wed, Apr 6, 2016",9:30p,Houston Rockets,86,Dallas Mavericks,88,,"20,108",
"Wed, Apr 6, 2016",7:00p,Cleveland Cavaliers,109,Indiana Pacers,123,,"18,165",
"Wed, Apr 6, 2016",10:30p,Los Angeles Clippers,91,Los Angeles Lakers,81,,"18,997",
"Wed, Apr 6, 2016",7:30p,Charlotte Hornets,111,New York Knicks,97,,"19,812",
"Wed, Apr 6, 2016",7:00p,Detroit Pistons,108,Orlando Magic,104,,"16,553",
"Wed, Apr 6, 2016",10:00p,Oklahoma City Thunder,115,Portland Trail Blazers,120,,"19,393",
"Wed, Apr 6, 2016",7:00p,Brooklyn Nets,103,Washington Wizards,121,,"16,846",
"Thu, Apr 7, 2016",8:00p,Toronto Raptors,87,Atlanta Hawks,95,,"17,864",
"Thu, Apr 7, 2016",10:30p,San Antonio Spurs,101,Golden State Warriors,112,,"19,596",
"Thu, Apr 7, 2016",8:00p,Phoenix Suns,124,Houston Rockets,115,,"18,227",
"Thu, Apr 7, 2016",8:00p,Chicago Bulls,98,Miami Heat,106,,"19,771",
"Thu, Apr 7, 2016",10:00p,Minnesota Timberwolves,105,Sacramento Kings,97,,"17,317",
"Fri, Apr 8, 2016",7:30p,Milwaukee Bucks,109,Boston Celtics,124,,"18,624",
"Fri, Apr 8, 2016",7:00p,Brooklyn Nets,99,Charlotte Hornets,113,,"18,337",
"Fri, Apr 8, 2016",8:30p,Memphis Grizzlies,93,Dallas Mavericks,103,,"20,211",
"Fri, Apr 8, 2016",9:00p,San Antonio Spurs,98,Denver Nuggets,102,,"16,347",
"Fri, Apr 8, 2016",7:30p,Washington Wizards,99,Detroit Pistons,112,,"18,207",
"Fri, Apr 8, 2016",8:00p,Los Angeles Lakers,102,New Orleans Pelicans,110,,"18,607",
"Fri, Apr 8, 2016",7:00p,Miami Heat,109,Orlando Magic,112,,"18,152",
"Fri, Apr 8, 2016",7:00p,New York Knicks,109,Philadelphia 76ers,102,,"16,076",
"Fri, Apr 8, 2016",7:30p,Indiana Pacers,98,Toronto Raptors,111,,"19,800",
"Fri, Apr 8, 2016",9:00p,Los Angeles Clippers,102,Utah Jazz,99,OT,"19,911",
"Sat, Apr 9, 2016",7:30p,Boston Celtics,107,Atlanta Hawks,118,,"19,257",
"Sat, Apr 9, 2016",8:30p,Cleveland Cavaliers,102,Chicago Bulls,105,,"22,186",
"Sat, Apr 9, 2016",8:00p,Golden State Warriors,100,Memphis Grizzlies,99,,"18,119",
"Sat, Apr 9, 2016",7:00p,Phoenix Suns,121,New Orleans Pelicans,100,,"16,932",
"Sat, Apr 9, 2016",10:30p,Minnesota Timberwolves,106,Portland Trail Blazers,105,,"19,733",
"Sat, Apr 9, 2016",10:30p,Oklahoma City Thunder,112,Sacramento Kings,114,,"17,317",
"Sun, Apr 10, 2016",5:00p,Utah Jazz,100,Denver Nuggets,84,,"16,172",
"Sun, Apr 10, 2016",3:30p,Los Angeles Lakers,110,Houston Rockets,130,,"18,442",
"Sun, Apr 10, 2016",6:00p,Brooklyn Nets,105,Indiana Pacers,129,,"18,165",
"Sun, Apr 10, 2016",3:30p,Dallas Mavericks,91,Los Angeles Clippers,98,,"19,170",
"Sun, Apr 10, 2016",6:00p,Orlando Magic,96,Miami Heat,118,,"19,913",
"Sun, Apr 10, 2016",7:30p,Toronto Raptors,93,New York Knicks,89,,"19,812",
"Sun, Apr 10, 2016",5:00p,Milwaukee Bucks,109,Philadelphia 76ers,108,OT,"16,267",
"Sun, Apr 10, 2016",7:00p,Golden State Warriors,92,San Antonio Spurs,86,,"18,658",
"Sun, Apr 10, 2016",12:00p,Charlotte Hornets,98,Washington Wizards,113,,"19,187",
"Mon, Apr 11, 2016",7:30p,Charlotte Hornets,114,Boston Celtics,100,,"18,624",
"Mon, Apr 11, 2016",7:30p,Washington Wizards,120,Brooklyn Nets,111,,"14,653",
"Mon, Apr 11, 2016",7:00p,Atlanta Hawks,94,Cleveland Cavaliers,109,,"20,562",
"Mon, Apr 11, 2016",8:00p,Houston Rockets,129,Minnesota Timberwolves,105,,"14,983",
"Mon, Apr 11, 2016",8:00p,Chicago Bulls,121,New Orleans Pelicans,116,,"16,867",
"Mon, Apr 11, 2016",8:00p,Los Angeles Lakers,79,Oklahoma City Thunder,112,,"18,203",
"Mon, Apr 11, 2016",7:00p,Milwaukee Bucks,98,Orlando Magic,107,,"18,374",
"Mon, Apr 11, 2016",10:00p,Sacramento Kings,105,Phoenix Suns,101,,"17,288",
"Mon, Apr 11, 2016",9:00p,Dallas Mavericks,101,Utah Jazz,92,,"19,911",
"Tue, Apr 12, 2016",7:30p,Miami Heat,99,Detroit Pistons,93,,"18,575",
"Tue, Apr 12, 2016",7:00p,New York Knicks,90,Indiana Pacers,102,,"17,906",
"Tue, Apr 12, 2016",10:30p,Memphis Grizzlies,84,Los Angeles Clippers,110,,"19,147",
"Tue, Apr 12, 2016",8:00p,Oklahoma City Thunder,98,San Antonio Spurs,102,OT,"18,765",
"Tue, Apr 12, 2016",7:30p,Philadelphia 76ers,98,Toronto Raptors,122,,"19,800",
"Wed, Apr 13, 2016",8:00p,Miami Heat,88,Boston Celtics,98,,"18,624",
"Wed, Apr 13, 2016",8:00p,Toronto Raptors,103,Brooklyn Nets,96,,"16,517",
"Wed, Apr 13, 2016",8:00p,Philadelphia 76ers,105,Chicago Bulls,115,,"21,777",
"Wed, Apr 13, 2016",8:00p,Orlando Magic,103,Charlotte Hornets,117,,"17,372",
"Wed, Apr 13, 2016",8:00p,Detroit Pistons,112,Cleveland Cavaliers,110,OT,"20,562",
"Wed, Apr 13, 2016",8:00p,San Antonio Spurs,96,Dallas Mavericks,91,,"20,346",
"Wed, Apr 13, 2016",10:30p,Memphis Grizzlies,104,Golden State Warriors,125,,"19,596",
"Wed, Apr 13, 2016",8:00p,Sacramento Kings,81,Houston Rockets,116,,"18,311",
"Wed, Apr 13, 2016",10:30p,Utah Jazz,96,Los Angeles Lakers,101,,"18,997",
"Wed, Apr 13, 2016",8:00p,Indiana Pacers,97,Milwaukee Bucks,92,,"16,569",
"Wed, Apr 13, 2016",8:00p,New Orleans Pelicans,109,Minnesota Timberwolves,144,,"14,889",
"Wed, Apr 13, 2016",10:30p,Los Angeles Clippers,105,Phoenix Suns,114,,"18,055",
"Wed, Apr 13, 2016",10:30p,Denver Nuggets,99,Portland Trail Blazers,107,,"19,571",
"Wed, Apr 13, 2016",8:00p,Atlanta Hawks,98,Washington Wizards,109,,"17,399",
Playoffs,,,,,,,,
"Sat, Apr 16, 2016",7:00p,Boston Celtics,101,Atlanta Hawks,102,,"18,980",
"Sat, Apr 16, 2016",3:30p,Houston Rockets,78,Golden State Warriors,104,,"19,596",
"Sat, Apr 16, 2016",9:30p,Dallas Mavericks,70,Oklahoma City Thunder,108,,"18,203",
"Sat, Apr 16, 2016",12:30p,Indiana Pacers,100,Toronto Raptors,90,,"19,800",
"Sun, Apr 17, 2016",3:00p,Detroit Pistons,101,Cleveland Cavaliers,106,,"20,562",
"Sun, Apr 17, 2016",10:30p,Portland Trail Blazers,95,Los Angeles Clippers,115,,"19,122",
"Sun, Apr 17, 2016",5:30p,Charlotte Hornets,91,Miami Heat,123,,"19,600",
"Sun, Apr 17, 2016",8:00p,Memphis Grizzlies,74,San Antonio Spurs,106,,"18,418",
"Mon, Apr 18, 2016",10:30p,Houston Rockets,106,Golden State Warriors,115,,"19,596",
"Mon, Apr 18, 2016",8:00p,Dallas Mavericks,85,Oklahoma City Thunder,84,,"18,203",
"Mon, Apr 18, 2016",7:00p,Indiana Pacers,87,Toronto Raptors,98,,"19,800",
"Tue, Apr 19, 2016",7:00p,Boston Celtics,72,Atlanta Hawks,89,,"18,972",
"Tue, Apr 19, 2016",9:30p,Memphis Grizzlies,68,San Antonio Spurs,94,,"18,418",
"Wed, Apr 20, 2016",8:00p,Detroit Pistons,90,Cleveland Cavaliers,107,,"20,562",
"Wed, Apr 20, 2016",10:30p,Portland Trail Blazers,81,Los Angeles Clippers,102,,"19,127",
"Wed, Apr 20, 2016",7:00p,Charlotte Hornets,103,Miami Heat,115,,"19,650",
"Thu, Apr 21, 2016",7:00p,Oklahoma City Thunder,131,Dallas Mavericks,102,,"20,150",
"Thu, Apr 21, 2016",9:30p,Golden State Warriors,96,Houston Rockets,97,,"18,200",
"Thu, Apr 21, 2016",7:30p,Toronto Raptors,101,Indiana Pacers,85,,"18,165",
"Fri, Apr 22, 2016",8:00p,Atlanta Hawks,103,Boston Celtics,111,,"18,624",
"Fri, Apr 22, 2016",7:00p,Cleveland Cavaliers,101,Detroit Pistons,91,,"21,584",
"Fri, Apr 22, 2016",9:30p,San Antonio Spurs,96,Memphis Grizzlies,87,,"18,119",
"Sat, Apr 23, 2016",5:30p,Miami Heat,80,Charlotte Hornets,96,,"19,604",
"Sat, Apr 23, 2016",8:00p,Oklahoma City Thunder,119,Dallas Mavericks,108,,"20,516",
"Sat, Apr 23, 2016",3:00p,Toronto Raptors,83,Indiana Pacers,100,,"18,165",
"Sat, Apr 23, 2016",10:30p,Los Angeles Clippers,88,Portland Trail Blazers,96,,"19,761",
"Sun, Apr 24, 2016",6:00p,Atlanta Hawks,95,Boston Celtics,104,OT,"18,624",
"Sun, Apr 24, 2016",8:30p,Cleveland Cavaliers,100,Detroit Pistons,98,,"21,584",
"Sun, Apr 24, 2016",3:30p,Golden State Warriors,121,Houston Rockets,94,,"18,200",
"Sun, Apr 24, 2016",1:00p,San Antonio Spurs,116,Memphis Grizzlies,95,,"18,119",
"Mon, Apr 25, 2016",7:00p,Miami Heat,85,Charlotte Hornets,89,,"19,156",
"Mon, Apr 25, 2016",8:00p,Dallas Mavericks,104,Oklahoma City Thunder,118,,"18,203",
"Mon, Apr 25, 2016",10:30p,Los Angeles Clippers,84,Portland Trail Blazers,98,,"19,607",
"Tue, Apr 26, 2016",8:30p,Boston Celtics,83,Atlanta Hawks,110,,"18,987",
"Tue, Apr 26, 2016",6:00p,Indiana Pacers,99,Toronto Raptors,102,,"19,800",
"Wed, Apr 27, 2016",10:30p,Houston Rockets,81,Golden State Warriors,114,,"19,596",
"Wed, Apr 27, 2016",10:00p,Portland Trail Blazers,108,Los Angeles Clippers,98,,"19,060",
"Wed, Apr 27, 2016",8:00p,Charlotte Hornets,90,Miami Heat,88,,"19,685",
"Thu, Apr 28, 2016",8:00p,Atlanta Hawks,104,Boston Celtics,92,,"18,624",
"Fri, Apr 29, 2016",8:00p,Miami Heat,97,Charlotte Hornets,90,,"19,636",
"Fri, Apr 29, 2016",7:30p,Toronto Raptors,83,Indiana Pacers,101,,"18,165",
"Fri, Apr 29, 2016",10:30p,Los Angeles Clippers,103,Portland Trail Blazers,106,,"19,768",
"Sat, Apr 30, 2016",8:30p,Oklahoma City Thunder,92,San Antonio Spurs,124,,"18,418",
"Tue, Oct 25, 2016",7:30p,New York Knicks,88,Cleveland Cavaliers,117,,"20,562",
"Tue, Oct 25, 2016",10:30p,San Antonio Spurs,129,Golden State Warriors,100,,"19,596",
"Tue, Oct 25, 2016",10:00p,Utah Jazz,104,Portland Trail Blazers,113,,"19,446",
"Wed, Oct 26, 2016",7:30p,Brooklyn Nets,117,Boston Celtics,122,,"18,624",
"Wed, Oct 26, 2016",7:00p,Dallas Mavericks,121,Indiana Pacers,130,OT,"17,923",
"Wed, Oct 26, 2016",10:30p,Houston Rockets,114,Los Angeles Lakers,120,,"18,997",
"Wed, Oct 26, 2016",8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,,"18,119",
"Wed, Oct 26, 2016",8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,,"18,717",
"Wed, Oct 26, 2016",8:00p,Denver Nuggets,107,New Orleans Pelicans,102,,"15,869",
"Wed, Oct 26, 2016",7:00p,Miami Heat,108,Orlando Magic,96,,"19,298",
"Wed, Oct 26, 2016",8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,,"20,487",
"Wed, Oct 26, 2016",10:00p,Sacramento Kings,113,Phoenix Suns,94,,"18,055",
"Wed, Oct 26, 2016",7:30p,Detroit Pistons,91,Toronto Raptors,109,,"19,800",
"Thu, Oct 27, 2016",7:30p,Washington Wizards,99,Atlanta Hawks,114,,"19,049",
"Thu, Oct 27, 2016",8:00p,Boston Celtics,99,Chicago Bulls,105,,"21,501",
"Thu, Oct 27, 2016",10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,,"19,500",
"Thu, Oct 27, 2016",10:30p,San Antonio Spurs,102,Sacramento Kings,94,,"17,608",
"Fri, Oct 28, 2016",7:30p,Indiana Pacers,94,Brooklyn Nets,103,,"17,732",
"Fri, Oct 28, 2016",8:30p,Houston Rockets,106,Dallas Mavericks,98,,"20,163",
"Fri, Oct 28, 2016",7:30p,Orlando Magic,82,Detroit Pistons,108,,"19,122",
"Fri, Oct 28, 2016",8:00p,Charlotte Hornets,97,Miami Heat,91,,"19,600",
"Fri, Oct 28, 2016",9:30p,Golden State Warriors,122,New Orleans Pelicans,114,,"18,217",
"Fri, Oct 28, 2016",8:00p,Phoenix Suns,110,Oklahoma City Thunder,113,OT,"18,203",
"Fri, Oct 28, 2016",7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,,"19,800",
"Fri, Oct 28, 2016",9:00p,Los Angeles Lakers,89,Utah Jazz,96,,"19,911",
"Sat, Oct 29, 2016",8:00p,Indiana Pacers,101,Chicago Bulls,118,,"21,373",
"Sat, Oct 29, 2016",7:00p,Boston Celtics,104,Charlotte Hornets,98,,"18,708",
"Sat, Oct 29, 2016",7:30p,Orlando Magic,99,Cleveland Cavaliers,105,,"20,562",
"Sat, Oct 29, 2016",9:00p,Portland Trail Blazers,115,Denver Nuggets,113,OT,"18,055",
"Sat, Oct 29, 2016",8:00p,Brooklyn Nets,108,Milwaukee Bucks,110,,"12,570",
"Sat, Oct 29, 2016",7:30p,Memphis Grizzlies,104,New York Knicks,111,,"19,812",
"Sat, Oct 29, 2016",12:30p,Atlanta Hawks,104,Philadelphia 76ers,72,,"16,312",
"Sat, Oct 29, 2016",10:30p,Minnesota Timberwolves,103,Sacramento Kings,106,,"17,608",
"Sat, Oct 29, 2016",8:00p,New Orleans Pelicans,79,San Antonio Spurs,98,,"18,418",
"Sun, Oct 30, 2016",6:00p,Milwaukee Bucks,83,Detroit Pistons,98,,"15,161",
"Sun, Oct 30, 2016",8:00p,Dallas Mavericks,92,Houston Rockets,93,,"18,055",
"Sun, Oct 30, 2016",4:30p,Utah Jazz,75,Los Angeles Clippers,88,,"19,060",
"Sun, Oct 30, 2016",8:00p,Washington Wizards,103,Memphis Grizzlies,112,OT,"15,573",
"Sun, Oct 30, 2016",6:00p,San Antonio Spurs,106,Miami Heat,99,,"19,678",
"Sun, Oct 30, 2016",7:00p,Los Angeles Lakers,96,Oklahoma City Thunder,113,,"18,203",
"Sun, Oct 30, 2016",6:00p,Golden State Warriors,106,Phoenix Suns,100,,"17,011",
