attendance,description,eventPhase,kc,matchId,outcome,event_title,venue_name,venue_city,venue_country,team_1,team_2,team_1_score,team_2_score,local_time
0.0,Match 17,Pool D,,26789.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Canada 7s,Wales 7s,28.0,7.0,2018-12-08 18:57:00
0.0,Match 16,Pool A,,26788.0,B,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,New Zealand 7s,Samoa 7s,17.0,21.0,2018-12-08 18:10:00
0.0,Match 15,Pool A,,26787.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,South Africa 7s,Zimbabwe 7s,43.0,0.0,2018-12-08 17:48:00
0.0,Match 14,Pool B,,26786.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,USA 7s,Spain 7s,38.0,17.0,2018-12-08 17:26:00
0.0,Match 13,Pool B,,26785.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Argentina 7s,Japan 7s,35.0,7.0,2018-12-08 17:04:00
0.0,Match 2,,,26772.0,B,Oceania Rugby U20 Trophy 2018,Apia Park,Apia,Samoa,Samoa U20,Tonga U20,20.0,27.0,2018-12-09 05:00:00
0.0,Match 12,Pool C,,26784.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,England 7s,France 7s,26.0,12.0,2018-12-08 16:42:00
0.0,Match 11,Pool C,,26783.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Fiji 7s,Kenya 7s,38.0,7.0,2018-12-08 16:20:00
0.0,Match 10,Pool D,,26782.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Australia 7s,Canada 7s,29.0,15.0,2018-12-08 15:58:00
0.0,Match 9,Pool D,,26781.0,A,HSBC World Rugby Sevens Series 2019 - Cape Town ,Cape Town Stadium,Cape Town,South Africa,Scotland 7s,Wales 7s,28.0,7.0,2018-12-08 15:36:00
