Borough,month-year,med_Detached,med_Flat,med_Other,med_Semi-detached,med_Terraced,count_Detached,count_Flat,count_Other,count_Semi-detached,count_Terraced,overall_median,overall_count
WALTHAM FOREST,07-2018,853000.0,360000.0,99005.0,540000.0,524000.0,1.0,130.0,23.0,26.0,117.0,440000.0,297
WALTHAM FOREST,08-2017,675625.0,327501.0,175000.0,550000.0,520000.0,4.0,113.0,23.0,25.0,135.0,443500.0,300
WALTHAM FOREST,08-2018,500000.0,374000.0,269021.0,585000.0,530000.0,3.0,133.0,19.0,33.0,151.0,460500.0,339
WALTHAM FOREST,09-2017,575000.0,330500.0,450000.0,565000.0,520000.0,1.0,116.0,9.0,14.0,128.0,436000.0,268
WALTHAM FOREST,09-2018,585000.0,381000.0,70000.0,551000.0,540550.0,3.0,138.0,19.0,21.0,119.0,439800.0,300
WALTHAM FOREST,10-2017,1025700.0,335000.0,62500.0,527000.0,525000.0,6.0,141.0,14.0,33.0,137.0,435000.0,331
WALTHAM FOREST,10-2018,,350500.0,95791.5,530000.0,536750.0,,127.0,16.0,31.0,112.0,425000.0,286
WALTHAM FOREST,11-2017,540000.0,346500.0,670000.0,545000.0,499000.0,3.0,125.0,19.0,23.0,91.0,430000.0,261
WALTHAM FOREST,11-2018,710000.0,345000.0,183000.0,537500.0,512500.0,3.0,125.0,26.0,28.0,122.0,430000.0,304
WALTHAM FOREST,12-2017,,359999.5,33853.0,548750.0,527000.0,,104.0,11.0,30.0,123.0,450000.0,268
WALTHAM FOREST,12-2018,520000.0,411000.0,60000.0,507800.0,543000.0,2.0,157.0,12.0,21.0,107.0,454000.0,299
WANDSWORTH,01-2017,1650000.0,600000.0,128750.0,975000.0,992500.0,4.0,354.0,22.0,15.0,86.0,650000.0,481
WANDSWORTH,01-2018,1910000.0,549950.0,522500.0,1325000.0,945000.0,5.0,255.0,31.0,15.0,85.0,618000.0,391
WANDSWORTH,01-2019,2525000.0,562500.0,640500.0,1405000.0,850000.0,5.0,218.0,16.0,11.0,60.0,615000.0,310
WANDSWORTH,02-2017,1290000.0,520000.0,275000.0,1475000.0,975000.0,2.0,272.0,31.0,11.0,77.0,580000.0,393
WANDSWORTH,02-2018,3045000.0,500000.0,390000.0,1425000.0,870000.0,3.0,212.0,13.0,19.0,81.0,606885.0,328
WANDSWORTH,02-2019,2850000.0,480000.0,250000.0,1200000.0,886250.0,3.0,177.0,13.0,15.0,76.0,557500.0,284
WANDSWORTH,03-2017,6850000.0,546500.0,612500.0,1433250.0,795000.0,1.0,397.0,38.0,10.0,103.0,597000.0,549
WANDSWORTH,03-2018,9250000.0,533750.0,957500.0,1260000.0,868250.0,1.0,320.0,52.0,19.0,93.0,600000.0,485
WANDSWORTH,03-2019,2525000.0,473000.0,21450.0,832500.0,1062500.0,2.0,81.0,4.0,6.0,40.0,590000.0,133
WANDSWORTH,04-2017,2425000.0,522500.0,148431.5,1142000.0,927000.0,2.0,300.0,30.0,19.0,89.0,602700.0,440
WANDSWORTH,04-2018,2527500.0,511410.0,75000.0,1640000.0,900000.0,4.0,246.0,30.0,14.0,111.0,588500.0,405
WANDSWORTH,05-2017,2000000.0,641790.0,114332.0,1202500.0,853602.5,1.0,350.0,25.0,16.0,100.0,675000.0,492
WANDSWORTH,05-2018,1155000.0,513000.0,77500.0,1202500.0,955000.0,2.0,324.0,27.0,16.0,101.0,575000.0,470
WANDSWORTH,06-2017,2875000.0,645420.0,395000.0,1175000.0,965000.0,6.0,360.0,45.0,15.0,116.0,705000.0,542
WANDSWORTH,06-2018,2050000.0,599950.0,97000.0,1475000.0,880000.0,2.0,397.0,31.0,13.0,101.0,630000.0,544
WANDSWORTH,07-2017,1900000.0,592500.0,268750.0,1250000.0,950000.0,7.0,451.0,28.0,23.0,120.0,640000.0,629
WANDSWORTH,07-2018,2400000.0,530000.0,290000.0,1223500.0,907500.0,9.0,359.0,27.0,28.0,128.0,633000.0,551
WANDSWORTH,08-2017,3000000.0,578872.0,120750.0,1412500.0,1015300.0,11.0,483.0,24.0,18.0,114.0,650000.0,650
WANDSWORTH,08-2018,3605000.0,482500.0,606000.0,1071000.0,983750.0,4.0,370.0,29.0,26.0,148.0,600000.0,577
WANDSWORTH,09-2017,2115000.0,590000.0,397450.0,1320000.0,865000.0,7.0,374.0,26.0,17.0,115.0,640000.0,539
WANDSWORTH,09-2018,3118750.0,490000.0,340000.0,1050000.0,880750.0,2.0,273.0,31.0,13.0,114.0,560000.0,433
WANDSWORTH,10-2017,1064000.0,604000.0,225000.0,822500.0,877500.0,3.0,330.0,32.0,10.0,84.0,630500.0,459
WANDSWORTH,10-2018,2155000.0,486000.0,82750.0,1175000.0,970000.0,8.0,226.0,18.0,20.0,105.0,567500.0,377
WANDSWORTH,11-2017,2245000.0,530000.0,149000.0,860000.0,900000.0,5.0,296.0,36.0,13.0,84.0,576250.0,434
WANDSWORTH,11-2018,2135000.0,573100.0,457500.0,1185000.0,912500.0,5.0,330.0,22.0,16.0,97.0,642500.0,470
WANDSWORTH,12-2017,5500000.0,485000.0,300000.0,1101125.0,867500.0,1.0,279.0,36.0,12.0,106.0,560000.0,434
WANDSWORTH,12-2018,2090000.0,600000.0,260000.0,1006000.0,914775.0,3.0,248.0,28.0,14.0,92.0,650000.0,385
