assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,game_id,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,name,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,position,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0.0,7.964285714285714,0.0,0.0,0.10714285714285714,4.642857142857143,0.03571428571428571,0.2857142857142857,5.464285714285714,,0.0,0.0,1.0,0.0,0.07142857142857142,137.75,0.0,7381.071428571428,0.32142857142857145,0.0,,,0.0,0.0,0.0,20.892857142857142,Petr Cech,0.0,0.0,10.75,0.0,0.0,0.0,0.0,GKP,2.2142857142857144,0.0,14.5,0.9642857142857143,87678.64285714286,0.0,0.03571428571428571,0.0,Arsenal,1.3333333333333333,2.074074074074074,,0.8571428571428571,-1825.857142857143,2931.464285714286,4757.321428571428,49.107142857142854,0.5357142857142857,0.0,0.0
0.0,22.928571428571427,0.0,0.0,0.10714285714285714,13.071428571428571,0.10714285714285714,0.8928571428571429,16.142857142857142,,0.0,0.0,2.0,0.10714285714285714,0.0,137.75,0.0,7382.071428571428,1.0,0.0,,,0.0,0.0,0.0,65.89285714285714,Bernd Leno,0.0,0.0,10.75,0.0,0.0,0.0,0.0,GKP,7.571428571428571,0.0,14.5,2.392857142857143,113703.39285714286,0.0,0.0,0.0,Arsenal,1.3333333333333333,2.074074074074074,,2.2857142857142856,-14.285714285714286,6106.642857142857,6120.928571428572,48.214285714285715,0.5357142857142857,0.0,0.0
0.0,17.25,0.0,0.03571428571428571,0.14285714285714285,6.035714285714286,0.03571428571428571,2.392857142857143,15.928571428571429,,0.0,0.0,3.0,0.0,0.0,137.75,0.17857142857142858,7383.071428571428,0.39285714285714285,0.07142857142857142,,,0.0,0.0,0.0,24.571428571428573,Laurent Koscielny,0.0,0.0,10.75,0.0,0.0,0.0,0.0,DEF,1.4285714285714286,0.0,14.5,0.0,13050.892857142857,0.03571428571428571,0.21428571428571427,0.03571428571428571,Arsenal,1.3333333333333333,2.074074074074074,,1.1785714285714286,1221.5357142857142,2641.964285714286,1420.4285714285713,54.17857142857143,0.5357142857142857,0.0,0.03571428571428571
0.17857142857142858,27.964285714285715,0.14285714285714285,0.0,0.17857142857142858,10.857142857142858,0.14285714285714285,1.9642857142857142,23.535714285714285,,0.5,0.0,4.0,0.0,0.10714285714285714,137.75,0.5714285714285714,7384.071428571428,0.75,0.0,,,0.2857142857142857,0.0,0.0,54.714285714285715,Héctor Bellerín,0.03571428571428571,0.32142857142857145,10.75,0.03571428571428571,0.0,0.0,0.0,DEF,2.8214285714285716,0.0,14.5,0.0,535067.3928571428,0.8571428571428571,0.42857142857142855,0.21428571428571427,Arsenal,1.3333333333333333,2.074074074074074,,2.142857142857143,-20046.928571428572,20237.964285714286,40284.892857142855,54.214285714285715,0.5357142857142857,0.0,0.10714285714285714
0.10714285714285714,21.75,0.10714285714285714,0.03571428571428571,0.14285714285714285,7.607142857142857,0.07142857142857142,1.7857142857142858,19.285714285714285,,0.07142857142857142,0.0,5.0,0.03571428571428571,0.0,137.75,0.4642857142857143,7385.071428571428,0.5714285714285714,0.03571428571428571,,,0.25,0.0,0.0,37.5,Nacho Monreal,0.03571428571428571,0.07142857142857142,10.75,0.0,0.0,0.0,0.0,DEF,1.6071428571428572,0.0,14.5,0.0,74599.39285714286,0.2857142857142857,0.14285714285714285,0.03571428571428571,Arsenal,1.3333333333333333,2.074074074074074,,1.6071428571428572,-558.0357142857143,8143.107142857143,8701.142857142857,54.464285714285715,0.5357142857142857,0.0,0.07142857142857142
0.0,21.964285714285715,0.0,0.0,0.17857142857142858,5.285714285714286,0.03571428571428571,2.0,19.178571428571427,,0.10714285714285714,0.0,6.0,0.0,0.0,137.75,0.21428571428571427,7386.071428571428,0.35714285714285715,0.0,,,0.07142857142857142,0.0,0.0,28.785714285714285,Rob Holding,0.0,0.0,10.75,0.0,0.03571428571428571,0.0,0.0,DEF,1.9642857142857142,0.0,14.5,0.0,33610.21428571428,0.17857142857142858,0.21428571428571427,0.07142857142857142,Arsenal,1.3333333333333333,2.074074074074074,,0.8571428571428571,-765.0357142857143,1417.9285714285713,2182.964285714286,43.82142857142857,0.5357142857142857,0.0,0.03571428571428571
0.0,46.07142857142857,0.0,0.0,0.07142857142857142,12.821428571428571,0.14285714285714285,6.214285714285714,38.642857142857146,,0.14285714285714285,0.0,7.0,0.0,0.0,137.75,1.0357142857142858,7387.071428571428,1.0714285714285714,0.07142857142857142,,,0.10714285714285714,0.0,0.0,67.53571428571429,Shkodran Mustafi,0.10714285714285714,0.03571428571428571,10.75,0.0,0.03571428571428571,0.0,0.0,DEF,2.9642857142857144,0.0,14.5,0.0,72242.28571428571,0.25,0.6428571428571429,0.21428571428571427,Arsenal,1.3333333333333333,2.074074074074074,,2.0714285714285716,-1191.107142857143,3345.3928571428573,4536.5,54.107142857142854,0.5357142857142857,0.0,0.21428571428571427
0.21428571428571427,24.535714285714285,0.2857142857142857,0.0,0.35714285714285715,10.75,0.10714285714285714,1.5,18.964285714285715,,0.25,0.0,8.0,0.03571428571428571,0.07142857142857142,137.75,0.5,7388.071428571428,0.75,0.0,,,0.9285714285714286,0.0,0.0,49.285714285714285,Sead Kolasinac,0.25,0.32142857142857145,10.75,0.03571428571428571,0.03571428571428571,0.0,0.0,DEF,3.25,0.0,14.5,0.0,146262.2857142857,0.6785714285714286,0.5714285714285714,0.10714285714285714,Arsenal,1.3333333333333333,2.074074074074074,,2.2142857142857144,14471.285714285714,25034.785714285714,10563.5,49.535714285714285,0.5357142857142857,0.0,0.10714285714285714
0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.03571428571428571,0.17857142857142858,,0.03571428571428571,0.0,10.0,0.0,0.0,137.75,0.0,7390.071428571428,0.0,0.0,,,0.0,0.0,0.0,0.39285714285714285,Konstantinos Mavropanos,0.0,0.0,10.75,0.0,0.0,0.0,0.0,DEF,0.0,0.0,14.5,0.0,6702.464285714285,0.0,0.0,0.0,Arsenal,1.3333333333333333,2.074074074074074,,0.03571428571428571,-295.57142857142856,69.78571428571429,365.35714285714283,47.607142857142854,0.5357142857142857,0.0,0.0
0.0,14.785714285714286,0.0,0.0,0.0,2.4285714285714284,0.0,1.0714285714285714,11.678571428571429,,0.10714285714285714,0.0,11.0,0.03571428571428571,0.0,137.75,0.35714285714285715,7391.071428571428,0.5714285714285714,0.0,,,0.07142857142857142,0.0,0.0,27.464285714285715,Stephan Lichtsteiner,0.07142857142857142,0.03571428571428571,10.75,0.0,0.0,0.0,0.0,DEF,1.2142857142857142,0.0,14.5,0.0,61741.32142857143,0.42857142857142855,0.21428571428571427,0.03571428571428571,Arsenal,1.3333333333333333,2.074074074074074,,0.39285714285714285,-3149.6071428571427,972.6785714285714,4122.285714285715,46.107142857142854,0.5357142857142857,0.0,0.07142857142857142
